/global_subject_pose.header.seq ,/global_subject_pose.header.stamp.secs ,/global_subject_pose.translation.x ,/global_subject_pose.translation.y ,/global_subject_pose.translation.z ,/global_subject_pose.rotation.x ,/global_subject_pose.rotation.y ,/global_subject_pose.rotation.z ,/relative_subject_pose.header.seq ,/relative_subject_pose.header.stamp.secs ,/relative_subject_pose.translation.x ,/relative_subject_pose.translation.y ,/relative_subject_pose.translation.z ,/relative_subject_pose.rotation.x ,/relative_subject_pose.rotation.y ,/relative_subject_pose.rotation.z ,/task_waypose.translation.x ,/task_waypose.translation.y ,/task_waypose.translation.z ,/task_waypose.rotation.x ,/task_waypose.rotation.y ,/task_waypose.rotation.z
10442 , 1366653843 , 0.862157951463 , -0.004246841722 , 0.986076576896 , 0.00844874551655 , 0.0141636282905 , 6.09405644786 , 589 , 1366653843 , 0.0258019037222 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10443 , 1366653843 , 0.862202988362 , -0.00412799034907 , 0.986151850001 , 0.00840466395611 , 0.0188269291233 , 6.09606574868 , 590 , 1366653843 , 0.0261564411328 , -0.00362676473103 , 0.986294194285 , 0.00553725955384 , 0.0141642600459 , 6.09163130413 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10444 , 1366653843 , 0.862177029946 , -0.00411359825905 , 0.986326897907 , 0.00370729062225 , 0.0118588819285 , 6.0893046457 , 590 , 1366653843 , 0.0261564411328 , -0.00362676473103 , 0.986294194285 , 0.00553725955384 , 0.0141642600459 , 6.09163130413 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10445 , 1366653843 , 0.862410877059 , -0.0044321189417 , 0.986044743736 , 0.0040827353717 , 0.0116214407156 , 6.09150645907 , 590 , 1366653843 , 0.0261564411328 , -0.00362676473103 , 0.986294194285 , 0.00553725955384 , 0.0141642600459 , 6.09163130413 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10446 , 1366653843 , 0.862829527106 , -0.00461968720845 , 0.986471821849 , 0.00739353309639 , 0.0151098640018 , 6.09388928565 , 590 , 1366653843 , 0.0261564411328 , -0.00362676473103 , 0.986294194285 , 0.00553725955384 , 0.0141642600459 , 6.09163130413 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10447 , 1366653843 , 0.862778846475 , -0.00494609629832 , 0.986437909532 , 0.00379816458256 , 0.0135576663762 , 6.09155923096 , 590 , 1366653843 , 0.0261564411328 , -0.00362676473103 , 0.986294194285 , 0.00553725955384 , 0.0141642600459 , 6.09163130413 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10448 , 1366653843 , 0.862888009734 , -0.00524056138363 , 0.986292654698 , 0.00462793558728 , 0.0160935369148 , 6.09360288602 , 590 , 1366653843 , 0.0261564411328 , -0.00362676473103 , 0.986294194285 , 0.00553725955384 , 0.0141642600459 , 6.09163130413 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10449 , 1366653843 , 0.863134990154 , -0.00522067515459 , 0.986332368146 , 0.00416141185197 , 0.0144743686224 , 6.09323639211 , 590 , 1366653843 , 0.0261564411328 , -0.00362676473103 , 0.986294194285 , 0.00553725955384 , 0.0141642600459 , 6.09163130413 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10450 , 1366653843 , 0.862927183473 , -0.00523132473211 , 0.986573721542 , 0.00133471172788 , 0.011474451197 , 6.089539731 , 591 , 1366653843 , 0.0261351854091 , -0.00524056138363 , 0.986292654698 , 0.00462793558728 , 0.0160935369148 , 6.09360288602 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10451 , 1366653843 , 0.863150229456 , -0.00576649738591 , 0.98581655768 , -0.00346469076372 , 0.00502183599133 , 6.09090822047 , 591 , 1366653843 , 0.0261351854091 , -0.00524056138363 , 0.986292654698 , 0.00462793558728 , 0.0160935369148 , 6.09360288602 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
