/vicon/CRASH/CRASH.header.stamp.secs ,/vicon/CRASH/CRASH.header.stamp.nsecs ,/vicon/CRASH/CRASH.transform.translation.x ,/vicon/CRASH/CRASH.transform.translation.y ,/vicon/CRASH/CRASH.transform.translation.z ,/vicon/CRASH/CRASH.transform.rotation.x ,/vicon/CRASH/CRASH.transform.rotation.y ,/vicon/CRASH/CRASH.transform.rotation.z ,/vicon/CRASH_A/CRASH_A.header.stamp.secs ,/vicon/CRASH_A/CRASH_A.header.stamp.nsecs ,/vicon/CRASH_A/CRASH_A.transform.translation.x ,/vicon/CRASH_A/CRASH_A.transform.translation.y ,/vicon/CRASH_A/CRASH_A.transform.translation.z ,/vicon/CRASH_A/CRASH_A.transform.rotation.x ,/vicon/CRASH_A/CRASH_A.transform.rotation.y ,/vicon/CRASH_A/CRASH_A.transform.rotation.z
1365540785,207761101,0.0388454273,0.0501584214,1.0444604609,-0.001516118,-0.0051702998,-0.10403344,1365540785,0,0,0,0,0,0,0
1365540785,212516984,0.0391646947,0.050942436,1.0439757849, 4.69279969808e-05 ,-0.0043924751,-0.1027409179,1365540785,0,0,0,0,0,0,0
1365540785,217911138,0.0384480957,0.0508713256,1.0444097514,0.001243053,-0.0075282785,-0.1061106758,1365540785,0,0,0,0,0,0,0
1365540785,222707429,0.0384748061,0.0509333832,1.044416373,0.0008977606,-0.0065085328,-0.1046854538,1365540785,0,0,0,0,0,0,0
1365540785,227920465,0.0386042269,0.0514868466,1.0441020209, 1.46030818643e-05 ,-0.0042462013,-0.1033883894,1365540785,0,0,0,0,0,0,0
1365540785,232549647,0.0382576508,0.0516169347,1.0441320738,0.003912997,-0.0055627674,-0.1042138921,1365540785,227920465,0.0386042269,0.0514868466,1.0441020209, 1.46030818643e-05 ,-0.0042462013,-0.1033883894
1365540785,237586276,0.0378702861,0.0515654216,1.0445580539,0.0009728778,-0.0063379364,-0.104608562,1365540785,227920465,0.0386042269,0.0514868466,1.0441020209, 1.46030818643e-05 ,-0.0042462013,-0.1033883894
1365540785,242598457,0.0378547112,0.0519257253,1.0442190999,0.0037025731,-0.0041090841,-0.1027439888,1365540785,227920465,0.0386042269,0.0514868466,1.0441020209, 1.46030818643e-05 ,-0.0042462013,-0.1033883894
1365540785,247553076,0.0375881867,0.0519746824,1.0446269539,0.0027245704,-0.0065793556,-0.1047782108,1365540785,227920465,0.0386042269,0.0514868466,1.0441020209, 1.46030818643e-05 ,-0.0042462013,-0.1033883894
1365540785,252316153,0.0374872944,0.0525188627,1.0446182176,0.0021485517,-0.0058530594,-0.1042319838,1365540785,227920465,0.0386042269,0.0514868466,1.0441020209, 1.46030818643e-05 ,-0.0042462013,-0.1033883894
